Characteristic Name,Sample Fraction,Activity Relative Depth,Parameter,Fraction,Depth
.alpha.-Endosulfan,Total,Bottom,.alpha.-Endosulfan,Total,Bottom
.alpha.-Endosulfan,Total,Surface,.alpha.-Endosulfan,Total,Surface
.alpha.-Endosulfan,Total,,.alpha.-Endosulfan,Total,
.alpha.-Hexachlorocyclohexane,Total,Bottom,.alpha.-Hexachlorocyclohexane,Total,Bottom
.alpha.-Hexachlorocyclohexane,Total,Surface,.alpha.-Hexachlorocyclohexane,Total,Surface
.alpha.-Hexachlorocyclohexane,Total,,.alpha.-Hexachlorocyclohexane,Total,
.beta.-Endosulfan,Total,Bottom,.beta.-Endosulfan,Total,Bottom
.beta.-Endosulfan,Total,Surface,.beta.-Endosulfan,Total,Surface
.beta.-Endosulfan,Total,,.beta.-Endosulfan,Total,
.beta.-Hexachlorocyclohexane,Total,Bottom,.beta.-Hexachlorocyclohexane,Total,Bottom
.beta.-Hexachlorocyclohexane,Total,Surface,.beta.-Hexachlorocyclohexane,Total,Surface
.beta.-Hexachlorocyclohexane,Total,,.beta.-Hexachlorocyclohexane,Total,
.delta.-Hexachlorocyclohexane,Total,Bottom,.delta.-Hexachlorocyclohexane,Total,Bottom
.delta.-Hexachlorocyclohexane,Total,Surface,.delta.-Hexachlorocyclohexane,Total,Surface
.delta.-Hexachlorocyclohexane,Total,,.delta.-Hexachlorocyclohexane,Total,
"2,4,5-T",Total,Bottom,"2,4,5-T",Total,Bottom
"2,4,5-T",Total,Surface,"2,4,5-T",Total,Surface
"2,4,5-T",Total,,"2,4,5-T",Total,
"2,4-D",Total,Bottom,"2,4-D",Total,Bottom
"2,4-D",Total,Surface,"2,4-D",Total,Surface
"2,4-D",Total,,"2,4-D",Total,
Aldrin,Total,Bottom,Aldrin,Total,Bottom
Aldrin,Total,Surface,Aldrin,Total,Surface
Aldrin,Total,,Aldrin,Total,
"Alkalinity, total",Total,Bottom,"Alkalinity, total",Total,Bottom
"Alkalinity, total",Total,Surface,"Alkalinity, total",Total,Surface
"Alkalinity, total",Total,,"Alkalinity, total",Total,
Aluminum,Dissolved,Bottom,Aluminum,Dissolved,Bottom
Aluminum,Dissolved,Surface,Aluminum,Dissolved,Surface
Aluminum,Dissolved,,Aluminum,Dissolved,
Aluminum,Total,Bottom,Aluminum,Total,Bottom
Aluminum,Total,Surface,Aluminum,Total,Surface
Aluminum,Total,,Aluminum,Total,
Ammonia-nitrogen,Dissolved,Bottom,Ammonia-nitrogen,Dissolved,Bottom
Ammonia-nitrogen,Dissolved,Surface,Ammonia-nitrogen,Dissolved,Surface
Ammonia-nitrogen,Dissolved,,Ammonia-nitrogen,Dissolved,
Ammonia-nitrogen,Total,Bottom,Ammonia-nitrogen,Total,Bottom
Ammonia-nitrogen,Total,Surface,Ammonia-nitrogen,Total,Surface
Ammonia-nitrogen,Total,,Ammonia-nitrogen,Total,
Aroclor 1016,Total,Bottom,Aroclor 1016,Total,Bottom
Aroclor 1016,Total,Surface,Aroclor 1016,Total,Surface
Aroclor 1016,Total,,Aroclor 1016,Total,
Aroclor 1221,Total,Bottom,Aroclor 1221,Total,Bottom
